type_encoded,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,power_w,temp_diff_k,overstrain_value,hdf_risk,pwf_risk,osf_risk,tool_wear_ratio,risk_score,actual,predicted,failure_prob
-0.8190752,-0.8166823,-1.4411883,-0.52356786,0.27192476,-1.1782693,-1.9683157,-0.32391614,-1.1097281,-0.4525383,-1.1084754,-0.62567276,-0.18028122,-3.7567766,0,0,0.00033984744
-1.0256147,-0.7326837,-2.0859845,-0.438246,-1.6750144,-2.4553182,-0.49508864,-0.15041572,-0.9258793,-0.14198752,-0.48342898,-0.049239073,-0.07696282,-3.257192,0,0,0.00035353817
-0.49437344,-2.1160562,-0.27795702,-1.1599915,-1.4368378,2.4671936,-0.27618462,-0.9787675,-0.11783935,-0.08945591,-0.22265787,-0.062053517,0.20666331,-1.7660097,0,0,0.43083632
1.4563932,-1.0129471,-0.91430295,-0.41269583,-0.7544609,-4.225337,-1.0190306,-0.9546091,-1.3666126,-0.14798416,-0.59716254,-0.062143512,-0.6445177,-3.0628314,0,0,0.0004653009
-0.92591053,-0.7369562,-0.9821228,-0.7951521,0.425969,-0.6562259,-1.631139,-0.734535,-1.62613,-0.4547596,-1.1170986,-0.62567276,-0.33024865,-3.4797473,0,0,0.0004884236
-1.1055866,-2.128792,-0.5236334,-1.310843,-1.7039279,-3.1040816,-1.1849065,-2.0890286,-1.3245007,-0.1450024,-0.5193337,-0.0634375,-0.38545167,-3.1615791,0,0,3.038277e-06
-1.0482508,-1.50085,-0.5978066,-0.31049243,0.83093905,-2.1779776,-1.2652587,-0.6815575,-0.9782283,-0.14692797,-0.32284197,-0.059394132,-0.29437754,-2.9519792,0,0,0.0042392737
-1.8031368,-0.6775198,-2.5953555,-1.5769614,0.5285159,-3.119078,-1.5778986,-0.96267754,0.03275305,-0.15103467,-0.5847004,-0.064454876,-0.42537978,-3.168213,0,0,4.1108615e-05
-0.97285306,-0.75192213,-3.1580615,-1.9741527,-1.21045,-2.3126786,-0.40299883,-3.1143856,-1.0637435,-0.14632067,-0.5969513,-0.052032217,-0.49414828,-3.5897486,0,0,1.0211633e-06
-1.061541,-0.64987254,-2.2063844,-1.9585887,0.13828413,-4.0169764,-0.5445094,-0.14039505,-1.4606704,-0.14798416,-0.5947243,-0.0634375,-0.5781413,-3.2964199,0,0,2.657612e-05
-0.7686645,-2.2540004,-1.8376648,-2.4045014,-0.7027924,-2.6923048,-1.5170527,-0.36708015,-0.50412005,-0.14727147,-0.5000114,-0.0634375,-0.49478263,-3.082357,0,0,1.2495248e-05
-1.198759,-0.2240766,-0.46343777,0.1684186,0.70338905,-1.4271231,-0.66218084,-1.4416013,-0.1704512,-0.35407102,-0.9210894,-0.48283678,-0.33189252,-3.2905352,0,0,0.017118003
-2.2817097,-1.1972301,-1.1388291,-1.0460913,-2.3380582,-3.0313385,-1.6201291,-1.4753656,-1.1890911,-0.153815,-0.56910443,-0.0614949,-0.5760122,-3.059266,0,0,1.1318574e-06
-0.6359316,-0.9716357,-2.8747501,0.35295317,-0.12567773,-3.212955,-2.5130343,-0.7001937,-0.633803,-0.14733116,-0.5305987,-0.064454876,-0.67475295,-3.3109488,0,0,4.552424e-05
1.4714158,-1.4103019,-0.47115973,-2.6385732,-1.2695973,-2.8413486,-0.21461724,-0.92976433,-0.7101012,-0.14798416,-0.53958446,-0.062143512,-0.35996628,-2.919116,0,0,0.00091383106
-1.3113614,-1.1525023,-2.355181,-2.2348554,0.7816969,-3.0401525,-2.3513951,-0.9280724,-1.6583005,-0.097623765,-0.59505373,-0.0828026,-0.3138478,-3.344632,0,0,3.2456205e-06
-0.740362,-0.9089595,-2.1215417,-0.2020466,-1.437223,-2.3545368,-0.41683334,0.6627299,-1.0095124,-0.14574236,-0.47793257,-0.049239073,-0.32897216,-3.090049,0,0,0.0013937996
-1.0292217,-0.82622486,-1.3813055,0.985764,0.3981692,-0.53194463,-1.1735157,-0.17409909,-0.49010473,0.48051897,-0.2545315,-0.08357893,0.06743246,8.815417,1,1,0.99998057
-0.49794343,-1.1432762,-2.106487,-2.615134,-0.15385497,-2.9239678,-1.2264216,-2.900308,0.20492022,-0.14691679,-0.50050515,-0.06181196,-0.25168878,-3.3235757,0,0,9.156128e-06
-1.8198698,-0.6906646,-1.5716501,0.033110857,-1.5816792,-3.4204354,-1.2750219,-1.5937786,-0.9780286,-0.14913563,-0.5076971,-0.0634375,-0.6747805,-3.1450236,0,0,1.12830185e-05
-0.26830345,-0.9609549,-1.3312014,-1.5354472,-1.3033178,-2.2622492,-1.4188585,-0.5010721,0.2560255,-0.1505362,-0.5386028,-0.0634375,-0.5651791,-2.745415,0,0,0.00064690824
-0.07871677,-0.6245172,0.16578671,-0.023964468,0.096591,-1.4064876,-0.4912508,-2.1916063,0.63376904,-0.117604285,1.1137943,-0.01673806,-0.27843487,8.816889,1,1,0.9999912
-0.093619816,-0.9225247,-1.9514093,-0.40351307,-0.53050023,-2.3636224,-2.9566483,-1.0945075,-0.5506193,-0.62472296,-0.5358495,-0.29117858,-0.30409306,-3.3200858,0,0,5.0322837e-05
-1.7008989,-1.8048755,-1.1659244,-2.3160944,-2.1144085,-3.0222082,-0.7211184,-0.5622889,-0.94573545,-0.14331698,-0.48760918,-0.057076216,-0.33241954,-2.7844439,0,0,5.490227e-06
-0.49926326,-1.0322918,0.6832301,-0.82254565,0.16821474,-3.7999501,-0.6158456,-2.401132,-0.10086643,-0.1462041,-0.59661907,-0.06181196,-0.7443979,-3.276656,0,0,0.0007458374
-2.4853597,-0.6821767,-1.1418363,-1.0108752,-1.6996745,-2.605535,-1.9368634,-2.2724779,-0.38800174,-0.153815,-0.49499357,-0.0614949,-0.4087978,-3.0053692,0,0,4.5454544e-06
-0.7748467,-1.402528,-2.351237,-0.22829156,0.062104587,-2.713934,-1.8708755,-0.39292768,-0.7469058,-0.6833113,-0.3970746,-0.17480427,-0.6660679,-3.4271517,0,0,5.994907e-05
-0.5506135,-0.67563087,-0.19587988,-0.99800223,-1.423127,-4.3302565,-0.6000327,-2.54772,-0.9068168,-0.14618836,-0.6038882,-0.054841254,-0.8913237,-3.3896322,0,0,1.2774347e-05
-0.8270345,-0.26262712,-1.6348029,-1.8730356,-0.075881794,-2.5917695,-1.3336221,-0.9906699,-1.1922309,-0.1505362,-0.5262976,-0.0634375,-0.36151347,-3.128497,0,0,0.00012765347
-0.86686546,-1.1817847,-1.6106489,-0.9526126,-1.2466025,-2.3943386,-0.9254848,-0.2907524,-0.10672459,-0.1380415,-0.4954863,-0.049239073,-0.05049386,-2.8207436,0,0,0.00083777105
0.054304056,-1.1257617,-2.0238974,-2.7370555,-0.8702498,-2.808366,-0.02792927,-1.6003894,-1.6957736,-0.14798416,-0.5205102,-0.0634375,-0.28202215,-3.0913293,0,0,1.8559482e-05
-1.2105145,-0.67911416,-3.3394332,-0.75247514,-0.15819812,-2.2748682,-2.156695,-0.57131433,0.5090537,-0.110690236,-0.5846344,-0.118212,-0.3951943,-3.1580942,0,0,0.00012913808
-0.9464507,-1.7196394,-1.815521,-0.4740712,-1.2470112,-3.3071103,-0.61633706,-1.6866181,-0.9283087,-0.14691679,-0.5961674,-0.06051797,-0.63552916,-3.2717485,0,0,1.1127761e-05
-1.0769268,-2.6182587,-0.44788852,-0.8257957,-1.3088945,-1.809692,-0.72272056,-2.146655,-0.80384004,-0.15373322,-0.3773029,-0.0634375,-0.13225654,-2.898957,0,0,8.7790344e-05
-1.6175871,-1.6147785,-1.790652,-1.62837,-0.010441602,-2.3419054,-2.3226466,-4.2247357,-0.18360063,-0.10161001,-0.61319655,-0.1349904,-0.15653765,-3.7833228,0,0,5.1531254e-07
1.3032783,0.3286363,-0.8351758,-0.4376304,2.1339812,-0.29744333,0.4759131,1.0655383,-0.28542387,-0.15168765,-0.33298007,-0.0634375,-0.014986975,-2.1392112,0,1,0.99888223
-1.8679693,-1.3138602,-1.9761932,-2.7978556,-1.0091319,-2.7864988,-1.4150022,-1.6019231,-1.3621647,-0.14198752,-0.57074237,-0.049239073,-0.5050339,-3.1934052,0,0,4.8209506e-07
-0.44109577,0.16174705,-0.6631071,-1.4319345,-0.16014269,-2.4134343,-0.26827726,-1.112796,-1.1822228,-0.1505362,-0.5506496,-0.0634375,-0.46593645,-2.9926085,0,0,0.0033731177
-1.4284827,-1.8384119,-1.6277323,-0.46299624,1.0169243,-2.65936,-1.315482,-1.5293841,-1.297209,-0.14812267,-0.5256671,-0.05365776,-0.2297227,-2.9926877,0,0,0.00011783579
-1.0652016,-0.32648855,-2.129997,-1.5270458,-1.9174907,-3.035126,-0.8451823,0.22479098,-2.1834435,-0.14689383,-0.5473739,-0.049239073,-0.51113623,-2.9871614,0,0,1.6682861e-05
-0.5400583,0.4786751,-0.2274679,0.12353296,0.6781171,-0.9691902,-0.34467474,-0.6303932,-0.39077017,0.5096181,-0.31557885,-0.12959988,-0.312023,8.984541,1,1,0.9999976
-1.7088338,-1.1648299,-0.71487176,0.15803678,0.44389814,-1.8991752,-1.0979626,-1.5782043,-1.101001,-0.45471084,-1.129573,-0.6248845,-0.72932273,-3.6424036,0,0,0.00010123704
-1.0415101,-0.28212985,-2.4059906,-1.150214,0.09514066,-3.14207,-0.037216388,-1.0230728,-2.2357562,-0.15168765,-0.5779036,-0.0634375,-0.5823577,-3.0145547,0,0,7.0004695e-05
-1.274362,-0.5833858,-1.0499029,0.67918646,1.0406839,-1.3845655,-1.0000631,-0.7412871,-0.66083163,-0.05173325,0.40182364,-0.05175189,-0.1471695,9.385366,1,1,0.9999753
-1.1179845,-1.3275641,-1.6862079,-2.8752337,-0.5778313,-4.1511264,-0.5635651,-1.2330515,-0.75224453,-0.14727147,-0.5839126,-0.0634375,-0.75599986,-3.3068545,0,0,2.0526195e-06
-1.1790571,-1.4775008,-3.238248,-1.7895125,-0.037700713,-3.1147847,-0.35551453,-0.6683106,-1.878535,-0.14574236,-0.56989187,-0.049239073,-0.43218327,-3.4836469,0,0,4.2271204e-06
-0.91151327,-1.2736229,-1.9315566,0.23273115,0.16242595,-2.0413008,-2.0870588,-1.0561157,-1.3062977,-0.2675338,-0.95595527,-0.39396212,-0.3633124,-3.8007302,0,0,4.782537e-05
